Index,Mac Name,Number of macSSID,Frequency,Signal,Lat,Lon,Alt,Time,
192,1c:b9:c4:12:af:78,1,Ariel_University,-74.0,32.10302066887821,35.20966235296473,702.7589737898068,Sun Dec 03 09:02:28 IST 2017, Approx. w-center algo1
193,1c:b9:c4:95:ec:37,1, ,-84.0,32.10302066887821,35.20966235296473,702.7589737898068,Sun Dec 03 09:02:28 IST 2017, Approx. w-center algo1
194,1c:b9:c4:96:ed:37,2, ,-82.0,32.10302084566238,35.20966436966361,702.8302348628025,Sun Dec 03 09:02:28 IST 2017, Approx. w-center algo1
195,1c:b9:c4:95:1c:b7,1, ,-90.0,32.10303985479879,35.20968826555523,703.11594160034,Sun Dec 03 09:02:43 IST 2017, Approx. w-center algo1
196,1c:b9:c4:16:06:b8,1,Ariel_University,-79.0,32.103276346028004,35.20968224845495,703.8508035498224,Sun Dec 03 09:03:01 IST 2017, Approx. w-center algo1
197,1c:b9:c4:94:2b:87,1, ,-88.0,32.10337113537652,35.209710253406485,704.1006958412728,Sun Dec 03 09:03:07 IST 2017, Approx. w-center algo1
198,1c:b9:c4:95:ed:b7,1, ,-92.0,32.103422735825944,35.2097119010955,704.24502290678,Sun Dec 03 09:03:10 IST 2017, Approx. w-center algo1
199,1c:b9:c4:96:ed:47,1, ,-91.0,32.103422735825944,35.2097119010955,704.24502290678,Sun Dec 03 09:03:10 IST 2017, Approx. w-center algo1
200,1c:b9:c4:16:e5:a8,1,Ariel_University,-81.0,32.10340998113717,35.209694768890756,704.4103268040734,Sun Dec 03 09:03:13 IST 2017, Approx. w-center algo1
201,1c:b9:c4:96:f1:57,1, ,-82.0,32.10340998113717,35.209694768890756,704.4103268040734,Sun Dec 03 09:03:13 IST 2017, Approx. w-center algo1
202,1c:b9:c4:14:2b:8c,1,Ariel_University,-82.0,32.10332786597918,35.20965551102127,704.8397895237058,Sun Dec 03 09:03:19 IST 2017, Approx. w-center algo1
203,1c:b9:c4:15:1c:b8,1,Ariel_University,-75.0,32.10332786597918,35.20965551102127,704.8397895237059,Sun Dec 03 09:03:19 IST 2017, Approx. w-center algo1
204,d8:5d:4c:9e:69:22,1,AUC_4_2_24,-78.0,32.10332786597918,35.20965551102127,704.8397895237058,Sun Dec 03 09:03:19 IST 2017, Approx. w-center algo1
205,1c:b9:c4:14:2b:88,1,Ariel_University,-80.0,32.10328570765323,35.20965870751324,705.0684892637616,Sun Dec 03 09:03:22 IST 2017, Approx. w-center algo1
206,1c:b9:c4:12:af:7c,1,Ariel_University,-72.0,32.10296650575114,35.20968182189735,706.9104159830141,Sun Dec 03 09:03:57 IST 2017, Approx. w-center algo1
207,1c:b9:c4:15:ec:3c,1,Ariel_University,-77.0,32.10296650575114,35.20968182189735,706.910415983014,Sun Dec 03 09:03:57 IST 2017, Approx. w-center algo1
208,1c:b9:c4:92:af:77,1, ,-72.0,32.10296650575114,35.20968182189735,706.9104159830141,Sun Dec 03 09:03:57 IST 2017, Approx. w-center algo1
209,1c:b9:c4:14:30:38,2,Ariel_University,-77.0,32.10288611255085,35.20970300167097,707.1660618041471,Sun Dec 03 09:04:00 IST 2017, Approx. w-center algo1
210,1c:b9:c4:16:ed:38,1,Ariel_University,-71.0,32.10286049786469,35.20970867310708,707.2411959048158,Sun Dec 03 09:04:03 IST 2017, Approx. w-center algo1
211,00:1d:aa:81:d8:3c,1,KCG-ADSL,-62.0,32.10278211645307,35.20974214753134,707.5329741136802,Sun Dec 03 09:04:09 IST 2017, Approx. w-center algo1
212,1c:b9:c4:96:ee:97,1, ,-85.0,32.10275085292877,35.20975955894632,707.6527664802024,Sun Dec 03 09:04:12 IST 2017, Approx. w-center algo1
213,1c:b9:c4:14:2c:3c,1,Ariel_University,-77.0,32.10271865750214,35.20977438790677,707.7511450557726,Sun Dec 03 09:04:15 IST 2017, Approx. w-center algo1
214,1c:b9:c4:96:11:a7,1, ,-87.0,32.10268489619051,35.20979541943164,707.828047259109,Sun Dec 03 09:04:18 IST 2017, Approx. w-center algo1
215,02:21:5c:af:69:82,1,DIRECT-IRDESKTOP-ETE41T5msTU,-90.0,32.10262449933767,35.20987440650553,707.9141706050168,Sun Dec 03 09:04:24 IST 2017, Approx. w-center algo1
