Index,Mac Name,SSID,Frequency,Signal,Lat,Lon,Alt,Time,
12,1c:b9:c4:15:42:68,Ariel_University,2400,-86.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
13,1c:b9:c4:16:2b:e8,Ariel_University,2400,-83.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
14,90:6c:ac:a0:7b:4d,EVE,2400,-83.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
15,a2:6c:ac:a0:7b:4d,Guest,2400,-82.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
16,c2:6c:ac:9f:fb:1f,shapedo,2400,-82.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
17,c2:6c:ac:a0:7b:4d,outsense,2400,-80.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
18,00:1a:dd:f5:df:c5,Afikim_Wifi,2400,-87.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
19,1c:b9:c4:15:44:58,Ariel_University,2400,-79.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
20,1c:b9:c4:16:05:38,Ariel_University,2400,-75.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
21,1c:b9:c4:16:05:78,Ariel_University,2400,-86.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
22,74:ea:3a:ad:d1:50,TP-LINK_ADD150,2400,-88.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
23,a2:6c:ac:a0:7b:4d,Guest,2400,-71.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
24,c2:6c:ac:a0:7b:4d,outsense,2400,-72.0,35.21007474,32.10475343,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
25,1c:b9:c4:15:25:48,Ariel_University,2400,-80.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
26,1c:b9:c4:16:05:78,Ariel_University,2400,-80.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
27,1c:b9:c4:96:05:37, ,5000,-83.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
28,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,2400,-74.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
29,90:6c:ac:a0:60:4d,Guest,2400,-69.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
30,90:6c:ac:a0:7b:4d,EVE,2400,-69.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
31,a2:6c:ac:a0:60:4d,incentive2,2400,-70.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
32,c2:6c:ac:a0:7b:4d,outsense,2400,-67.0,35.20990936,32.10466627,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
33,1c:b9:c4:15:23:58,Ariel_University,2400,-85.0,35.20975804,32.10457483,687.0,Sun Dec 03 08:53:48 IST 2017, Approx. w-center algo1
34,74:ea:3a:ad:d1:50,TP-LINK_ADD150,2400,-69.0,35.20975804,32.10457483,687.0,Sun Dec 03 08:53:48 IST 2017, Approx. w-center algo1
35,24:79:2a:2c:5b:d8,Ariel_University,2400,-78.0,35.20960715,32.10448173,687.0,Sun Dec 03 08:53:51 IST 2017, Approx. w-center algo1
36,90:6c:ac:9f:f1:c5,CliClap,2400,-82.0,35.20960715,32.10448173,687.0,Sun Dec 03 08:53:51 IST 2017, Approx. w-center algo1
37,1c:b9:c4:16:1d:78,Ariel_University,2400,-83.0,35.20946023,32.10440239,687.0,Sun Dec 03 08:53:54 IST 2017, Approx. w-center algo1
38,1c:b9:c4:16:cc:d8,Ariel_University,2400,-92.0,35.20946023,32.10440239,687.0,Sun Dec 03 08:53:54 IST 2017, Approx. w-center algo1
39,a2:6c:ac:a0:18:29,artsim,2400,-80.0,35.20946023,32.10440239,687.0,Sun Dec 03 08:53:54 IST 2017, Approx. w-center algo1
40,1c:b9:c4:16:2d:e8,Ariel_University,2400,-91.0,35.20932755,32.10430866,687.0,Sun Dec 03 08:53:57 IST 2017, Approx. w-center algo1
41,00:02:6f:8e:64:67, ,2400,-91.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
42,1c:b9:c4:15:1c:b8,Ariel_University,2400,-81.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
43,1c:b9:c4:16:cc:d8,Ariel_University,2400,-82.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
44,b2:6c:ac:9f:f1:c5,paysday,2400,-92.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
45,c2:6c:ac:9f:fb:1f,shapedo,2400,-83.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
46,ec:8c:a2:26:b0:e8,Ariel_University,2400,-86.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
47,ec:8c:a2:26:d3:68,Ariel_University,2400,-64.0,35.20917533,32.10419361,685.0,Sun Dec 03 08:54:00 IST 2017, Approx. w-center algo1
48,1c:b9:c4:15:fd:48,Ariel_University,2400,-84.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
49,1c:b9:c4:16:05:38,Ariel_University,2400,-76.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
50,1c:b9:c4:16:28:e8,Ariel_University,2400,-76.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
51,1c:b9:c4:16:cc:d8,Ariel_University,2400,-76.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
52,8c:0c:90:2e:16:88,Ariel_University,2400,-84.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
53,b2:6c:ac:9f:f1:c5,paysday,2400,-82.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
54,b2:6c:ac:a0:3d:eb,sinusafe,2400,-75.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
55,b2:6c:ac:a0:7b:4d,magneto,2400,-78.0,35.20902709,32.10406321,685.0,Sun Dec 03 08:54:03 IST 2017, Approx. w-center algo1
56,1c:b9:c4:15:23:58,Ariel_University,2400,-79.0,35.20892354,32.10391893,686.0,Sun Dec 03 08:54:06 IST 2017, Approx. w-center algo1
57,1c:b9:c4:16:1d:7c,Ariel_University,5000,-89.0,35.20883622,32.10376365,686.0,Sun Dec 03 08:54:09 IST 2017, Approx. w-center algo1
58,1c:b9:c4:16:d2:88,Ariel_University,2400,-89.0,35.20883622,32.10376365,686.0,Sun Dec 03 08:54:09 IST 2017, Approx. w-center algo1
59,e0:10:7f:1a:bd:98,Ariel_University,2400,-88.0,35.20883622,32.10376365,686.0,Sun Dec 03 08:54:09 IST 2017, Approx. w-center algo1
60,ec:8c:a2:08:78:c8,Ariel_University,2400,-85.0,35.20883622,32.10376365,686.0,Sun Dec 03 08:54:09 IST 2017, Approx. w-center algo1
61,1c:b9:c4:16:28:e8,Ariel_University,2400,-65.0,35.20878096,32.10359721,686.0,Sun Dec 03 08:54:12 IST 2017, Approx. w-center algo1
62,ec:8c:a2:08:78:c8,Ariel_University,2400,-77.0,35.20878096,32.10359721,686.0,Sun Dec 03 08:54:12 IST 2017, Approx. w-center algo1
63,1c:b9:c4:12:7c:c8,Ariel_University,2400,-73.0,35.20875946,32.10346795,686.0,Sun Dec 03 08:54:15 IST 2017, Approx. w-center algo1
64,1c:b9:c4:16:d2:88,Ariel_University,2400,-77.0,35.20875946,32.10346795,686.0,Sun Dec 03 08:54:15 IST 2017, Approx. w-center algo1
65,90:6c:ac:9f:f1:c5,CliClap,2400,-87.0,35.20875946,32.10346795,686.0,Sun Dec 03 08:54:15 IST 2017, Approx. w-center algo1
66,ec:8c:a2:08:94:18,Ariel_University,2400,-69.0,35.20875946,32.10346795,686.0,Sun Dec 03 08:54:15 IST 2017, Approx. w-center algo1
67,1c:b9:c4:16:1d:78,Ariel_University,2400,-81.0,35.20874462,32.10333565,687.0,Sun Dec 03 08:54:18 IST 2017, Approx. w-center algo1
68,1c:b9:c4:16:f4:78,Ariel_University,2400,-85.0,35.20874462,32.10333565,687.0,Sun Dec 03 08:54:18 IST 2017, Approx. w-center algo1
69,34:8f:27:20:8c:18,Ariel_University,2400,-86.0,35.20874462,32.10333565,687.0,Sun Dec 03 08:54:18 IST 2017, Approx. w-center algo1
70,ec:8c:a2:08:94:18,Ariel_University,2400,-61.0,35.20874462,32.10333565,687.0,Sun Dec 03 08:54:18 IST 2017, Approx. w-center algo1
71,1c:b9:c4:12:90:b8,Ariel_University,2400,-71.0,35.20873143,32.10318952,684.0,Sun Dec 03 08:54:21 IST 2017, Approx. w-center algo1
72,1c:b9:c4:14:2f:68,Ariel_University,2400,-90.0,35.20873143,32.10318952,684.0,Sun Dec 03 08:54:21 IST 2017, Approx. w-center algo1
